bloco_verde: .word 16, 16
.byte 128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,
128,40,183,183,183,183,183,183,183,183,183,183,183,40,128,128,
40,40,183,40,40,40,40,40,40,40,40,40,40,183,40,128,
40,183,40,0,0,0,0,0,0,0,0,0,0,183,40,128,
40,183,40,0,0,0,0,0,0,0,0,0,0,183,40,128,
40,183,40,0,183,0,0,0,0,40,40,0,0,183,40,128,
40,183,40,0,0,0,40,0,40,183,183,40,0,183,40,128,
40,183,40,0,0,40,0,40,183,183,40,183,0,183,40,128,
40,183,40,0,40,0,40,0,40,183,183,40,0,183,40,128,
40,183,40,12,40,40,40,40,40,40,40,40,0,183,40,128,
40,183,40,12,12,40,183,40,40,183,183,40,40,183,40,128,
40,40,183,183,183,183,183,183,183,183,183,183,183,183,40,128,
40,183,40,40,0,40,12,40,12,40,0,40,0,40,40,128,
40,183,40,0,40,0,40,12,40,0,40,12,40,183,40,128,
128,183,12,0,12,40,12,0,12,40,12,0,12,183,128,128,
128,40,183,183,183,183,183,183,183,183,183,183,183,40,128,128,


